time,seasonal1,seasonal2,trend,exog1,exog2,target
0,0.0,0.0,0.0,0.4967141530112327,-0.21187984101135163,1.5850304774124573
1,2.588190451025208,0.18695597138162812,0.005,-0.13826430117118466,-0.22670705419192702,4.3781188705025516
2,4.999999999999999,0.37365046793212126,0.01,0.6476885381006925,-0.8978215863150075,6.823444787928653
3,7.0710678118654755,0.5598223805165393,0.015,1.5230298564080254,-0.16504509585071864,9.894717887017977
4,8.660254037844386,0.7452113308808723,0.02,-0.23415337472333597,0.3664145409108725,11.976997970128437
5,9.659258262890685,0.9295580358145729,0.025,-0.23413695694918055,-0.6371160595383976,11.398250862046414
6,10.0,1.1126046697815721,0.03,1.5792128155073915,0.5242413255252962,13.913146710310263
7,9.659258262890685,1.294095225512604,0.035,0.7674347291529088,0.2438874105421691,11.970587377569565
8,8.660254037844387,1.4737758720545213,0.04,-0.4694743859349521,-0.36711666098551893,10.581486221995103
9,7.071067811865477,1.6513953097758356,0.045,0.5425600435859647,-0.07076481866892372,10.752332692636863
10,4.999999999999999,1.8267051218319752,0.05,-0.46341769281246226,0.7991609038205165,8.641792445860393
11,2.58819045102521,1.999460121598705,0.055,-0.46572975357025687,0.3667739067529329,6.221006925838903
12,1.2246467991473533e-15,2.1694186955877908,0.06,0.24196227156603412,0.004391827449073908,2.165099285434101
13,-2.5881904510252083,2.33634314136531,0.065,-1.913280244657798,-0.11884165848049215,-0.31364790204558257
14,-4.999999999999997,2.4999999999999996,0.07,-1.7249178325130328,0.03830453522582981,-1.5352540226286675
15,-7.071067811865471,2.660160382576682,0.075,-0.5622875292409727,-0.2558817789711517,-3.827028584795421
16,-8.660254037844382,2.8166002903181098,0.08,-1.0128311203344238,-1.0523747528595073,-6.439994981029576
17,-9.659258262890685,2.969100927867508,0.085,0.3142473325952739,1.0210889552673654,-5.526670352351258
18,-10.0,3.1174490092936673,0.09,-0.9080240755212109,0.07766249959970073,-7.1877622752427355
19,-9.659258262890685,3.2614370563906054,0.095,-1.4123037013352915,0.19907363256126856,-4.901703603126071
20,-8.660254037844386,3.4008636888545967,0.1,1.465648768921554,-0.02895387493845436,-3.187149780299861
21,-7.071067811865477,3.5355339059327378,0.105,-0.22577630048653566,-0.367558400362294,-2.819511647996844
22,-5.0000000000000036,3.6652593591491316,0.11,0.06752820468792384,-0.09296224047438537,0.04239728074931959
23,-2.588190451025216,3.7898586157272653,0.115,-1.4247481862134568,-0.7996973810971556,0.9661777429633694
24,-2.4492935982947065e-15,3.9091574123401496,0.12,-0.5443827245251827,1.1385432490266523,4.637468209215196
25,2.5881904510252114,4.022988898833343,0.125,0.11092258970986608,-0.617255999211198,7.8784123136753825
26,5.0,4.131193871579974,0.13,-1.1509935774223028,-0.5159831419235897,8.995099493806386
27,7.071067811865474,4.23362099614142,0.135,0.37569801834567196,-0.2201296021932002,11.209425018009139
28,8.660254037844382,4.330127018922193,0.14,-0.600638689918805,0.6440378624261888,11.48583216003076
29,9.659258262890685,4.420576967523049,0.145,-0.2916937497932768,0.007254499631327068,13.861257251100161
30,10.0,4.504844339512095,0.15,-0.6017066122293969,-0.6180678980152312,14.818841943935555
31,9.659258262890686,4.5828112793498805,0.155,1.8522781845089378,0.6271691803786698,15.480571018010277
32,8.66025403784439,4.6543687432210215,0.16,-0.013497224737933921,0.3655003133927407,13.583431325947524
33,7.071067811865471,4.719416651541838,0.165,-1.0577109289559004,0.2692174786082262,10.87234533084065
34,4.999999999999997,4.777864028930704,0.17,0.822544912103189,0.3578671205854202,8.260024944996774
35,2.588190451025209,4.829629131445342,0.17500000000000002,-1.2208436499710222,1.1971809502912254,6.535297938381907
36,3.673940397442059e-15,4.874639560909118,0.18,0.2088635950047554,1.092547447518056,4.545757706864635
37,-2.588190451025201,4.912832366166441,0.185,-1.9596701238797756,-0.34335767150164764,1.1806457539919109
38,-4.999999999999991,4.944154131125642,0.19,-1.3281860488984305,0.8119424964055761,-0.16033941388380207
39,-7.071067811865467,4.968561049466212,0.195,0.19686123586912352,0.19158409487945016,-0.7250293780718067
40,-8.660254037844387,4.9860189859059005,0.2,0.7384665799954104,0.2495479080688747,-3.6219264186130515
41,-9.65925826289068,4.9965035239419935,0.20500000000000002,0.1713682811899705,-0.8461354158216643,-5.162594989470027
42,-9.999999999999998,5.0,0.21,-0.11564828238824053,-0.08519288269409798,-5.540591223389154
43,-9.659258262890686,4.996503523941993,0.215,-0.3011036955892888,-0.40641179516828246,-4.977470975587133
44,-8.66025403784439,4.9860189859059005,0.22,-1.4785219903674274,0.4140294074466546,-5.012033209535721
